pp,cond,accuracy,meanRT_correct,meanRT_incorrect,meanRTlog_correct,meanRTlog_incorrect,0.1_correct,0.25_correct,0.3_correct,0.5_correct,0.7_correct,0.75_correct,0.9_correct,0.1_incorrect,0.25_incorrect,0.3_incorrect,0.5_incorrect,0.7_incorrect,0.75_incorrect,0.9_incorrect,skew_correct,stdRT_correct,skew_incorrect,stdRT_incorrect,timeout,n_trials,prop_fast_errors,meanRTdiff,meanRTlogdiff,origin,model
92,implicitDeadline,0.9282407407407407,424.1479301745649,397.3929032257949,-0.8655729345394778,-0.9301867124592382,360.739999999991,385.71999999997195,391.900000000023,417.640000000014,445.69999999995304,452.47999999998103,497.280000000028,339.5,360.8999999999945,364.43999999994395,387.23999999999097,421.739999999991,425.1699999999545,456.139999999898,0.7596338592399253,54.43336105694064,0.8397364827047417,50.146060409812854,0.09259259259259259,432,1,26.755026948770023,0.06461377791976042,empirical,none
93,implicitDeadline,0.7746478873239436,411.2484848484965,389.47916666667487,-0.9019518932637615,-0.954186579713896,336.0,371.250000000087,376.00000000008123,402.500000000029,432.29999999999995,444.0,506.0,320.0,357.75,367.0,390.0,406.0,414.0,445.000000000058,0.8256491911488454,68.69791200028547,0.7082925952133756,59.23050052956313,0.09389671361502347,426,1,21.76931818182163,0.052234686450134515,empirical,none
94,acc,0.9582366589327146,440.35108958839095,414.44444444447674,-0.8396849296774592,-0.8994161698191969,336.2,377.0,390.6,433.0,467.0,479.0,553.8,337.8000000001631,355.250000000029,359.7000000001044,384.000000000058,428.79999999999995,439.25,551.6,1.094509402457789,90.29651924838059,1.3230400607642925,87.19634518931889,-99.0,431,1,25.906645143914204,0.059731240141737696,empirical,none
95,explicitDeadline,0.9043062200956937,368.5969788359792,350.0764499999947,-1.0043973275504134,-1.0600293148827105,316.05909999997823,336.7377500000878,342.95580000003935,365.271500000032,389.69610000015194,396.8289999999685,427.82320000004296,297.3633000000728,315.6485000000682,322.23880000001543,348.4019999999145,367.8722000000564,375.8789999999715,428.00069999982344,0.24560913142112398,41.62670244545191,-0.03881124266468861,50.19398925448669,0.032407407407407406,418,1,18.52052883598452,0.05563198733229702,empirical,none
96,acc,0.9814385150812065,662.6952435228276,678.1023750268355,-0.4469083697834808,-0.41575237780145746,466.4922000476628,543.4395000000079,561.4745999856854,632.3730000715,722.643000042986,745.0385000596291,885.8331999904476,519.792400004831,531.2837500298194,540.5233000500656,650.1870000238415,751.9496000190617,758.5485000357587,843.8802000429295,1.147791524944143,184.31862883311578,1.195196958578541,177.3666477320761,-99.0,431,0,-15.407131504007907,-0.031155991982023346,empirical,none
97,implicitDeadline,0.8561484918793504,380.5577723543242,311.6535645132014,-0.9823613088991614,-1.1822531141403834,299.1517999982226,340.955999997037,349.0147999982004,379.295999997063,408.41679999283514,418.771999994031,456.68379999286236,239.0084000003525,275.97599999851127,289.0618000008781,308.49399999406853,336.95829999528365,344.3294999977808,384.18939999730804,0.40305129893413577,68.25459394543455,-0.07371630163320333,55.293501155946934,0.04176334106728538,431,1,68.9042078411228,0.19989180524122196,empirical,none
98,implicitDeadline,0.8032407407407407,378.0989049471634,327.6329059286379,-0.9933150782229162,-1.1308048029332558,288.0974000285962,327.37399999999604,337.3920000286074,368.36600007151696,404.7054000190462,414.444000095391,475.1478000429228,261.66900004769,291.48000007157697,297.53980003817696,318.815000095376,350.5616000572222,363.656000023824,407.62320008105627,1.2453899448716041,79.94864993187697,0.5259491251289243,57.37327395040321,0.06018518518518518,432,1,50.46599901852551,0.1374897247103396,empirical,none
99,explicitDeadline,0.7146739130434783,354.37992395437243,307.07904761904615,-1.0646618746139573,-1.2168487650020283,241.459999999963,321.26000000000954,326.9680000000166,357.439999999944,392.2160000000262,403.20999999999196,451.59199999998066,198.3360000000102,246.56000000005602,266.5160000000152,322.680000000051,351.7319999999952,354.179999999993,405.0079999999905,-0.6282695447225493,75.74440789069291,-0.16733785617913033,78.27055013422908,0.11961722488038277,368,1,47.30087633532628,0.15218689038807098,empirical,none
100,explicitDeadline,0.854320987654321,402.23872827822044,395.7762711436043,-0.9161233462313354,-0.9320155108698837,350.5999999761695,370.74999996421707,377.00000004768697,394.5000000238505,423.249999976193,432.60000000000554,465.749999928448,349.2200000476904,365.3499999046035,370.5799999713664,385.400000000023,421.87999994275157,424.3499999523335,446.30000003813757,0.2930245975172042,42.08965244563617,0.40395682755674395,40.65512368330867,0.0625,405,1,6.462457134616159,0.015892164638548256,empirical,none
101,explicitDeadline,0.7265193370165746,392.244996106159,367.77398980266327,-0.945494030773442,-1.0135708962979955,321.27979999999496,357.906999880797,364.6201998474074,395.548999856925,427.4657998092472,434.222499809257,456.10599984741424,298.7019999618178,323.7279998331215,331.82139987600976,362.744999952265,400.77959989510737,409.996999904615,455.01259984743103,-0.4407661504526404,52.695842580064635,0.06612342297110992,59.479239303748464,0.16203703703703703,362,1,24.471006303495756,0.0680768655245535,empirical,none
102,acc,0.9601873536299765,536.5975609756204,531.3529411764869,-0.6461527441152275,-0.6891830676907834,404.9000000001044,457.0,467.0,515.5,563.3,580.75,705.3000000000001,357.80000000006385,402.0,417.2,474.000000000116,553.1999999999999,606.0,733.0,1.2468408030810507,123.17914476699221,2.0098918545037674,208.1925014188899,-99.0,427,1,5.244619799133488,0.04303032357555592,empirical,none
103,explicitDeadline,0.907859078590786,402.23502089512726,390.80114705848246,-0.9143781265680496,-0.9435113311798159,361.1727999996858,378.533499999976,384.0705999998896,402.957999999868,418.27199999969463,425.7179999994405,448.7169999995036,354.0185999995677,365.64249999934725,373.63419999966874,385.263499999812,413.37139999975915,421.9497499992285,435.3570999995865,-0.10826342719338315,34.16551832769711,0.1006820194453631,35.20465711024962,0.14186046511627906,369,1,11.433873836644807,0.029133204611766272,empirical,none
104,acc,0.9791666666666666,524.5862884160869,454.111111111124,-0.6557789368434431,-0.7909099723410905,435.2,471.500000000058,479.0000000000348,513.0,553.0,566.5,622.4000000000001,426.6,441.0,441.4,444.0,463.4,475.0,490.2000000000928,1.1338955614127657,79.20928245894271,0.7522474816523259,26.619750395375494,-99.0,432,1,70.47517730496287,0.13513103549764738,empirical,none
