pp,symbol,cond,accuracy,meanRT_correct,meanRT_incorrect,meanRTlog_correct,meanRTlog_incorrect,0.1_correct,0.25_correct,0.3_correct,0.5_correct,0.7_correct,0.75_correct,0.9_correct,0.1_incorrect,0.25_incorrect,0.3_incorrect,0.5_incorrect,0.7_incorrect,0.75_incorrect,0.9_incorrect,skew_correct,stdRT_correct,skew_incorrect,stdRT_incorrect,timeout,n_trials,prop_fast_errors,meanRTdiff,meanRTlogdiff,origin,model
305,0,control,0.7209302325581395,851.8056451612903,915.9395833333333,-0.20551247346615104,-0.1272535893250276,583.66,658.2,682.6999999999999,773.4000000000001,957.66,1002.2749999999999,1214.9899999999998,647.64,720.55,741.39,855.55,1014.6299999999998,1040.4,1267.5700000000002,1.0777996179124094,269.5516477057434,1.049007754329439,272.7256276448746,-99.0,172,0,-64.13393817204303,-0.07825888414112345,empirical,none
305,1,control,0.8895348837209303,813.8254901960785,865.0473684210527,-0.2485575362540333,-0.17210198604517493,586.6800000000001,633.9,651.56,733.1999999999999,852.6,903.2,1125.8800000000006,631.24,717.7,734.12,820.1,1006.0,1037.35,1154.08,1.8328060409469407,266.4774275839601,0.4052760306779984,208.25703501101455,-99.0,172,0,-51.22187822497426,-0.07645555020885836,empirical,none
306,0,control,0.8850574712643678,676.8961038961039,862.4,-0.41437093775818784,-0.18704127861383174,516.6,580.0,596.0,636.5,719.1,736.25,914.7,576.3,664.5,686.0,914.5,1009.3999999999999,1014.9999999999999,1204.1000000000001,1.3355752659321762,157.7969311741808,0.18419351281092894,242.62650525577698,-99.0,174,0,-185.50389610389607,-0.2273296591443561,empirical,none
306,1,control,0.8439306358381503,739.4657534246576,800.8888888888889,-0.3364690708898453,-0.25645850779954765,508.5,599.25,617.0,703.5,805.5,831.0,1058.5,547.6,624.0,645.2,799.0,939.4,975.5,1060.2,0.9983128016377512,204.07717148797383,0.21216384708942237,211.19719792235978,-99.0,173,0,-61.423135464231336,-0.08001056309029764,empirical,none
307,0,control,0.8538011695906432,661.4246575342465,735.32,-0.4350577547748406,-0.32815491243009104,495.0,562.0,577.0,629.5,695.0,743.75,867.0,573.2,628.0,632.6,695.0,746.0,800.0,953.8000000000001,0.8465212195936472,142.60458161699356,1.2576182257904542,161.38533597160142,-99.0,171,0,-73.89534246575352,-0.10690284234474956,empirical,none
307,1,control,0.7988505747126436,718.5467625899281,715.0285714285715,-0.3485546746359991,-0.35758184677340754,561.2,619.0,630.8,694.0,775.8,807.5,911.8000000000001,545.4,592.0,594.6,689.0,791.4,838.5,936.0,0.7860840700333411,140.32298266528161,0.5160141026592916,154.94448450109775,-99.0,174,1,3.51819116135664,0.009027172137408446,empirical,none
309,0,control,0.7,689.8453781512605,764.1254901960784,-0.38914421802182786,-0.2977036945639276,548.1400000000001,603.55,616.42,653.8000000000001,723.84,754.3000000000001,884.74,530.2,643.9000000000001,677.2,729.3,818.9,906.25,1020.5999999999999,1.0459540896390824,136.04084552878336,0.3859278973485433,184.34609064814714,-99.0,170,0,-74.28011204481788,-0.09144052345790027,empirical,none
309,1,control,0.8520710059171598,701.3423611111111,749.388,-0.37444032183296055,-0.3088066472503157,540.15,602.875,613.17,685.45,758.15,771.6750000000001,862.3000000000003,570.6999999999999,605.8,637.8799999999999,698.6,834.3199999999999,883.6,942.82,0.9323329390528957,143.61599808612644,0.34988963095319914,154.82277050442767,-99.0,169,0,-48.0456388888889,-0.06563367458264485,empirical,none
310,0,control,0.7965116279069767,820.3795620437957,844.2571428571429,-0.23595236130560948,-0.20295756920854555,583.0,638.0,652.4,761.0,924.8,948.0,1145.4,614.2,717.5,725.2,792.0,856.4,891.5,1201.2000000000003,1.1666150083013676,239.88956194915977,1.1001751072542576,232.42156714459523,-99.0,172,0,-23.87758081334721,-0.032994792097063935,empirical,none
310,1,control,0.591715976331361,848.63,836.2173913043479,-0.2051255663448937,-0.21588183609311448,596.5,663.5,674.7,778.5,926.4,964.5,1264.6000000000001,577.2,671.0,691.8,763.0,956.6,985.0,1225.8,1.202623728535133,260.46805791098296,0.8723121384558584,237.64258070405407,-99.0,169,1,12.412608695652125,0.010756269748220776,empirical,none
311,0,control,0.6337209302325582,1053.6394495412844,1130.9158730158729,0.004503134880955418,0.059057484640244615,699.5,788.3,819.9,949.5,1178.8799999999999,1232.5,1491.8000000000002,708.76,787.85,825.9999999999999,1032.6,1317.02,1414.3,1632.3000000000004,1.2412441397794116,348.00974843156024,1.092710499702717,430.34471112021913,-99.0,172,0,-77.27642347458846,-0.054554349759289196,empirical,none
311,1,control,0.8735632183908046,829.7480263157895,986.2954545454545,-0.23197029407011566,-0.05828625233738074,583.1099999999999,644.0749999999999,659.68,744.7,892.2299999999998,951.1,1215.79,716.4100000000001,741.35,773.78,874.25,1082.05,1150.8249999999998,1488.6800000000005,1.593328612922894,274.8940951934721,1.2237380259620982,322.00851286776157,-99.0,174,0,-156.547428229665,-0.1736840417327349,empirical,none
314,0,control,0.8109756097560976,752.6661654135339,848.6451612903226,-0.31953765090113767,-0.2070822504239483,549.3199999999999,616.8000000000001,635.54,703.2,775.0,826.7,1093.92,589.4000000000001,663.6500000000001,723.3000000000001,798.8,902.4,998.55,1166.9,1.343803272918968,214.3649009061128,0.9362888489032795,259.5406889599518,-99.0,164,0,-95.97899587678864,-0.11245540047718938,empirical,none
314,1,control,0.7485029940119761,790.9904,799.2404761904761,-0.2774132523943106,-0.2651949137201747,521.54,628.4,660.7399999999999,740.1999999999999,884.12,915.9000000000001,1106.7800000000002,588.22,685.3249999999999,691.92,740.0,848.63,884.425,1103.62,1.039870252616204,240.41840558868708,0.9576840335640104,237.3831379339684,-99.0,167,0,-8.25007619047608,-0.012218338674135909,empirical,none
315,0,control,0.8628571428571429,667.0900662251656,769.5208333333334,-0.4309321823194955,-0.2772466835758251,500.90000000000003,558.7,569.9,639.0,707.0,719.1499999999999,907.3,609.62,666.8499999999999,694.97,739.6,871.88,880.15,940.9599999999999,1.433250185942312,163.4592058200728,0.41891475342635565,138.33297252004635,-99.0,175,0,-102.43076710816774,-0.15368549874367038,empirical,none
315,1,control,0.813953488372093,739.2914285714286,768.94375,-0.3299153612010202,-0.2924749642978007,552.67,604.0,621.26,694.7,808.5999999999999,848.5250000000001,969.7900000000002,555.62,631.125,660.75,702.55,839.23,870.5999999999999,1009.3400000000001,0.8630196157141498,181.12958534869995,0.933095346518798,197.36951743187274,-99.0,172,0,-29.65232142857144,-0.03744039690321954,empirical,none
318,0,explicitDeadline,0.8470588235294118,538.0895833333333,620.5884615384615,-0.6330984804578416,-0.48569203251647214,436.18,466.275,478.85,526.4,573.7199999999999,585.75,655.8600000000001,529.8,574.475,585.6500000000001,614.8,653.5500000000001,663.25,713.5,0.7449196914043522,90.33192538566374,0.3075118133742327,82.92361461934988,0.03409090909090909,170,0,-82.49887820512822,-0.14740644794136942,empirical,none
318,1,explicitDeadline,0.8083832335329342,596.5133333333333,612.415625,-0.5256157031724669,-0.5060713060937626,509.21999999999997,546.3,557.66,582.6,626.9399999999999,638.1,709.9,485.29,530.8,536.12,576.85,673.4499999999999,686.125,778.9700000000001,0.4336740153636335,80.63921289742613,0.41441688322416687,111.2327496140123,0.05113636363636364,167,0,-15.902291666666656,-0.019544397078704256,empirical,none
319,0,explicitDeadline,0.6196319018404908,603.6999999999999,607.8354838709678,-0.5278410018142051,-0.5118114912187586,446.29999999999995,501.70000000000005,516.7,595.7,683.1,713.7,780.6999999999999,477.37,540.9,547.32,598.8000000000001,650.35,668.575,749.06,0.07454464599826831,128.10493120875557,0.31682876896158163,102.46903906134514,0.06857142857142857,163,0,-4.135483870967846,-0.01602951059544655,empirical,none
319,1,explicitDeadline,0.8928571428571429,585.6426666666666,600.3833333333333,-0.5470036674923,-0.5225535031688143,480.99,515.65,529.08,578.85,632.93,647.7750000000001,715.05,503.76000000000005,530.9499999999999,533.29,580.9,633.23,672.225,709.8000000000001,0.35852152817580996,91.16452591215221,0.8790241423896098,99.8628662658124,0.045454545454545456,168,0,-14.740666666666698,-0.02445016432348568,empirical,none
320,0,explicitDeadline,0.783625730994152,637.3007462686568,657.9324324324324,-0.46354535885803755,-0.43469971811920466,527.09,561.2750000000001,576.72,641.1500000000001,690.77,698.975,781.05,480.06,592.3000000000001,595.58,673.3,725.62,736.9,789.9999999999999,0.11521721334715038,102.06091170809223,-0.17998673614462052,116.1865216271139,0.028409090909090908,171,0,-20.631686163775612,-0.02884564073883289,empirical,none
320,1,explicitDeadline,0.930635838150289,553.9341614906832,740.0,-0.6070558791475935,-0.30366441325767624,425.59999999999997,481.3,497.90000000000003,540.6999999999999,595.6,611.5,677.9,674.1300000000001,689.0250000000001,705.1800000000001,746.8,771.29,774.3499999999999,792.26,0.551490282311446,101.6229194778361,0.08997443430720423,55.25226445380067,0.017045454545454544,173,0,-186.0658385093168,-0.3033914658899173,empirical,none
321,0,explicitDeadline,0.6568047337278107,615.5,578.2931034482758,-0.4937017394207437,-0.560799838624122,529.6999999999999,560.65,563.8,599.4000000000001,658.5,667.0,738.1,479.17,517.4499999999999,520.75,558.15,633.3000000000001,654.6750000000001,736.0300000000001,0.46048047270758635,80.68423637861359,0.2959549869607138,94.61092044469616,0.03428571428571429,169,1,37.206896551724185,0.06709809920337828,empirical,none
321,1,explicitDeadline,0.8263473053892215,563.0101449275362,631.8758620689656,-0.587029304741252,-0.4734857534974446,462.24,496.775,499.32,545.95,585.0799999999999,605.9250000000001,702.49,502.35999999999996,527.5999999999999,566.24,643.3,694.42,701.3000000000001,774.68,0.8720639353323248,92.33688896758663,0.031162204985869843,107.77452871346213,0.045714285714285714,167,0,-68.8657171414294,-0.11354355124380744,empirical,none
322,0,explicitDeadline,0.55625,662.943820224719,643.1549295774648,-0.42284301750425807,-0.45365821427850794,551.0,594.0,605.6,665.0,721.0,742.0,791.2,508.0,579.5,594.0,643.0,687.0,696.5,778.0,-0.08987709052908356,100.30457702220609,0.20132738780074316,101.10640051624878,0.08045977011494253,160,1,19.78889064725422,0.030815196774249876,empirical,none
322,1,explicitDeadline,0.6848484848484848,653.858407079646,661.3846153846154,-0.4357798226175484,-0.4240843049560379,538.0,592.0,610.2,658.0,711.5999999999999,724.0,759.0,545.0,595.75,619.9,655.5,703.8,726.25,784.9,-0.13996499952199082,95.03776197391949,0.18436358670525121,97.07873373188603,0.040697674418604654,165,0,-7.526208304969373,-0.011695517661510502,empirical,none
326,0,explicitDeadline,0.7657142857142857,549.4798507462687,622.2682926829268,-0.6114708284349364,-0.48557624098565766,447.77,476.725,499.86,534.1500000000001,582.1,605.0999999999999,674.22,518.5,570.0,579.5,608.4000000000001,637.8000000000001,644.1,773.3,0.6568505942435899,89.49447815943834,0.447847232403666,94.7924402023294,0.0,175,0,-72.78844193665816,-0.12589458744927873,empirical,none
326,1,explicitDeadline,0.8128654970760234,580.2525179856116,612.775,-0.5545281955919118,-0.5011649747324002,472.88,522.7,537.5,576.3000000000001,624.38,631.9000000000001,679.62,487.09000000000003,554.575,567.67,610.15,637.95,656.6,726.2600000000001,0.22529252689778745,82.91420773946457,0.4166982595495472,94.43526883532446,0.022857142857142857,171,0,-32.5224820143884,-0.05336322085951162,empirical,none
327,0,explicitDeadline,0.6708074534161491,519.6666666666666,531.6981132075472,-0.6730251460447939,-0.6466734429383243,398.6,449.75,465.7,507.0,560.4,574.75,663.4999999999999,430.2,488.0,493.8,519.0,549.0,557.0,682.4000000000001,0.37996664902077987,100.45466732270772,0.6955898278566996,94.46785878025076,0.024242424242424242,161,0,-12.031446540880552,-0.026351703106469615,empirical,none
327,1,explicitDeadline,0.8554216867469879,516.6830985915493,498.0416666666667,-0.6702146590856143,-0.7139458111659249,430.1,468.0,473.0,510.0,541.4,560.0,610.9,380.6,429.5,431.0,492.0,537.4,542.75,630.0999999999999,0.7289956706238049,74.26809493370892,0.5296739419910388,94.4501152744787,0.023529411764705882,166,1,18.641431924882625,0.04373115208031064,empirical,none
328,0,explicitDeadline,0.8045977011494253,554.8078571428572,641.3882352941176,-0.606806123895027,-0.45792337714544334,423.18,474.325,493.03,555.25,605.7,624.85,699.6700000000001,515.54,581.0500000000001,591.6099999999999,640.6500000000001,690.9599999999999,720.0,777.61,0.20725863354964583,103.95136457408326,-0.13889333344627833,105.22140802081272,0.011363636363636364,174,0,-86.58037815126045,-0.14888274674958363,empirical,none
328,1,explicitDeadline,0.6705882352941176,607.3052631578947,592.0642857142857,-0.5099296866018311,-0.5465824700803127,491.01000000000005,534.6,548.74,599.0999999999999,656.8799999999999,676.075,728.54,435.05000000000007,475.95,493.9,585.85,685.75,695.175,761.75,0.22284238039159704,91.17866331889498,0.06842356234157172,124.52717911228189,0.03409090909090909,170,1,15.24097744360904,0.036652783478481554,empirical,none
330,0,explicitDeadline,0.7378048780487805,587.997520661157,651.1651162790698,-0.5501121135591149,-0.44229068223056023,444.40000000000003,497.59999999999997,507.70000000000005,580.6,634.8000000000001,660.3,768.4,514.52,581.6,591.74,640.2,714.74,737.5500000000001,791.0600000000001,0.4167393198948272,115.93697746535244,0.09583081835711418,106.53480514148309,0.06818181818181818,164,0,-63.167595617912866,-0.1078214313285547,empirical,none
330,1,explicitDeadline,0.8470588235294118,567.71875,605.1538461538462,-0.5845151705484132,-0.5275298416704027,439.43,492.29999999999995,504.08,554.95,597.9499999999999,629.55,717.0200000000001,453.35,508.875,526.7,613.3,677.95,692.8,803.65,0.7097108103149625,111.55869286465902,0.019266387722307064,134.84359007611516,0.03409090909090909,170,0,-37.43509615384619,-0.056985328878010444,empirical,none
331,0,explicitDeadline,0.6234567901234568,590.5445544554456,585.6983606557377,-0.5452440923935525,-0.549638236188905,445.79999999999995,508.2,518.0,571.0,632.6,658.5999999999999,776.6999999999999,466.9,517.1,532.9000000000001,579.7,633.3,634.6,701.0999999999999,0.6251687494236504,116.34885601091874,0.2454374091768911,100.57296272160369,0.05813953488372093,162,1,4.846193799707862,0.004394143795352412,empirical,none
331,1,explicitDeadline,0.7964071856287425,561.4631578947369,581.3970588235294,-0.5954200072039895,-0.5615142602489217,431.74,483.59999999999997,502.34000000000003,555.1,601.6999999999999,624.1,700.22,436.03000000000003,507.775,515.29,600.25,621.35,634.9250000000001,721.0699999999999,0.35049877364790777,107.35578026645244,0.07392104439040094,113.37619996436672,0.05113636363636364,167,0,-19.933900928792468,-0.03390574695506776,empirical,none
