t0,st0,zr,v0,v1,a,alpha,szr,sv,file,pp,condition
0.440069,0.1989544,0.59157735,-1.6776748,1.6041205,1.6888852,1.8381847,0.1999309,1.2252413,file263_control.csv,263,control
0.5384293,0.2840409,0.6209409,-2.0194962,1.5659997,0.47996753,1.6302985,0.19589818,1.480395,file71_explicitDeadline.csv,71,explicitDeadline
0.5206515,0.18738942,0.47860855,-1.2216735,0.5448503,1.1080028,1.847027,0.2070464,0.83229876,file310_control.csv,310,control
0.447842,0.14964513,0.53292024,-1.7397301,2.157387,0.89410764,1.8069785,0.19029868,1.4962962,file293_control.csv,293,control
0.43548223,0.19917355,0.3887446,-1.2043971,2.5850224,0.58019614,1.6734488,0.1985141,1.6899701,file34_explicitDeadline.csv,34,explicitDeadline
0.47965136,0.2262053,0.501726,-1.4690084,1.9164537,1.2535472,1.7918125,0.19612406,1.3703185,file298_control.csv,298,control
0.6616107,0.3630566,0.56786025,-1.0162282,1.6330805,1.2853687,1.9317764,0.19629727,0.88924646,file21_control.csv,21,control
0.4422625,0.17968863,0.48992348,-1.7501211,2.642012,0.63659257,1.7479646,0.19328192,0.98936135,file152_explicitDeadline.csv,152,explicitDeadline
0.55564743,0.25591093,0.39732406,-0.56140924,1.4367557,0.49027202,1.7487212,0.20440513,1.1181846,file278_explicitDeadline.csv,278,explicitDeadline
0.5834376,0.40012845,0.39366654,-1.1632202,2.2813294,0.9862708,1.8188123,0.1947266,1.2207273,file173_control.csv,173,control
0.46986666,0.34239164,0.65241325,-0.8402876,1.2791696,0.58914536,1.7726123,0.20633848,1.0554318,file20_explicitDeadline.csv,20,explicitDeadline
0.4871241,0.19808283,0.5360572,-1.1527497,2.292559,0.5692507,1.7058299,0.20393577,0.855438,file61_explicitDeadline.csv,61,explicitDeadline
0.50071186,0.29044473,0.70241153,-2.495269,2.5274112,0.6192565,1.6146541,0.18786637,1.2278758,file320_explicitDeadline.csv,320,explicitDeadline
0.55160254,0.3080664,0.2937347,-1.5990206,1.3631335,0.5600958,1.7132571,0.20749654,0.96390057,file376_explicitDeadline.csv,376,explicitDeadline
0.5119305,0.23826109,0.39654633,-1.583122,1.8745959,0.85224307,1.8008971,0.20587334,0.7422022,file307_control.csv,307,control
0.41144693,0.19285975,0.5529365,-0.40925354,1.7623283,0.4884352,1.6640791,0.19810416,0.96681404,file117_explicitDeadline.csv,117,explicitDeadline
0.46173945,0.28216204,0.4954759,-0.38103214,2.2062004,0.47639018,1.653614,0.20289503,0.71386933,file238_explicitDeadline.csv,238,explicitDeadline
0.6169591,0.30082557,0.5691588,-0.9661686,1.2172928,2.5767434,1.8969772,0.20532452,0.6368712,file156_control.csv,156,control
0.4657543,0.2773127,0.5030726,-1.4021555,2.2493746,0.6327701,1.7220516,0.19825181,1.0571831,file330_explicitDeadline.csv,330,explicitDeadline
0.4757899,0.27664155,0.4837105,-0.48445082,1.5409578,0.5053105,1.7273521,0.20149826,1.1908807,file176_explicitDeadline.csv,176,explicitDeadline
0.48654488,0.25739765,0.59735346,-1.491059,2.307959,0.4510476,1.6079687,0.1988214,1.0044506,file115_explicitDeadline.csv,115,explicitDeadline
0.43086505,0.28644755,0.31208125,-0.26699066,2.0500305,0.53967667,1.7453859,0.21386814,0.82196975,file69_explicitDeadline.csv,69,explicitDeadline
0.56588495,0.29645696,0.5730206,-0.8757004,1.001635,0.4721708,1.7853914,0.20893006,0.93401164,file322_explicitDeadline.csv,322,explicitDeadline
0.505957,0.26061717,0.59215283,-0.80243343,2.0569563,0.488861,1.732257,0.20534702,0.8907076,file332_explicitDeadline.csv,332,explicitDeadline
0.51082116,0.243875,0.3763131,-0.6070373,1.9464928,0.57339424,1.7587943,0.20786023,1.195881,file375_explicitDeadline.csv,375,explicitDeadline
0.49808627,0.32475773,0.32347372,-1.4401191,1.9992266,0.5036327,1.6707996,0.20064129,1.36996,file328_explicitDeadline.csv,328,explicitDeadline
0.48191476,0.20044592,0.46543673,-0.5679863,1.976742,0.72077346,1.6824793,0.20166439,0.94635075,file251_control.csv,251,control
0.519483,0.24510182,0.47100264,-1.2263397,2.0253437,1.2401835,1.7984698,0.19678701,1.1952322,file140_control.csv,140,control
0.4368768,0.2795009,0.40511468,-0.515924,1.6920744,1.3300493,1.3844733,0.1974,1.4849834,file255_control.csv,255,control
0.46947452,0.25580516,0.50357604,-1.6099799,1.5640863,0.51711905,1.7141591,0.19772944,1.1756688,file258_explicitDeadline.csv,258,explicitDeadline
0.51978415,0.2581841,0.48524848,-1.4573256,2.3017905,0.49186197,1.7386113,0.20236246,0.9593928,file231_explicitDeadline.csv,231,explicitDeadline
0.44881392,0.32611036,0.6170725,-0.7871897,0.7051826,0.5482594,1.6867021,0.21127668,0.779539,file256_explicitDeadline.csv,256,explicitDeadline
0.48429486,0.27884766,0.47662568,-1.7952214,1.7805779,0.995609,1.7789402,0.20305902,0.8542083,file282_control.csv,282,control
0.5263175,0.30883324,0.66034925,-0.60525113,1.8517537,0.50475174,1.7760552,0.20833287,0.74154294,file371_explicitDeadline.csv,371,explicitDeadline
0.5208541,0.26079684,0.49217373,-1.7886602,2.215176,1.0330635,1.7557629,0.19235174,1.2563099,file49_control.csv,49,control
0.50576633,0.33703485,0.51418436,-1.2190485,1.9722898,0.50607264,1.6775581,0.20131446,0.98096913,file369_explicitDeadline.csv,369,explicitDeadline
0.47633082,0.30273554,0.581953,-0.3359908,2.085801,0.7224333,1.6316329,0.2025693,0.7719317,file296_control.csv,296,control
0.57151514,0.36280882,0.48924497,-1.34874,2.1510282,0.9285714,1.6176766,0.19331403,1.697943,file142_control.csv,142,control
0.39446634,0.1363008,0.4896205,-0.83716154,1.4217368,2.1364996,1.8162805,0.21886133,1.1543467,file215_control.csv,215,control
0.46515992,0.21994042,0.54963,-0.9947484,1.1125048,0.550876,1.8014641,0.21058904,0.7721442,file230_explicitDeadline.csv,230,explicitDeadline
0.5439574,0.28949323,0.43523672,-1.2767408,1.3923076,1.5082023,1.9066975,0.20470086,0.7518082,file218_control.csv,218,control
0.48132032,0.2051761,0.3300224,-1.880704,2.6601586,0.5752159,1.7292893,0.19125101,1.1950063,file318_explicitDeadline.csv,318,explicitDeadline
0.4460251,0.21315087,0.67511016,-0.9243716,1.6022505,0.5773678,1.7449921,0.2088761,0.7963646,file267_explicitDeadline.csv,267,explicitDeadline
0.4290875,0.12215692,0.48448107,-0.9201313,2.2907352,1.3062375,1.8243744,0.1909531,1.4328822,file303_control.csv,303,control
0.5424432,0.2594636,0.41433197,-1.2419182,1.5096536,0.8440165,1.8647617,0.20229802,1.14431,file184_control.csv,184,control
0.5301102,0.28900027,0.4319666,-0.5136662,1.5205156,0.43864888,1.7306184,0.21683405,0.60861516,file335_explicitDeadline.csv,335,explicitDeadline
0.41779175,0.32340816,0.4419672,-0.15563618,1.1638123,1.2456276,1.7661527,0.20658836,1.0044625,file11_control.csv,11,control
0.48693046,0.31556734,0.4586509,-1.2911695,0.77297956,0.5081281,1.7261889,0.20422927,1.5113182,file195_explicitDeadline.csv,195,explicitDeadline
0.57613313,0.33413222,0.6050092,-1.0941123,2.0435407,0.87446,1.7746572,0.203868,1.0969465,file10_control.csv,10,control
0.50181407,0.33881307,0.46445966,-1.3835845,1.2431026,1.0154184,1.6983129,0.20743772,0.99711084,file314_control.csv,314,control
0.43799287,0.276553,0.5114942,-0.5914752,1.5337375,0.53587323,1.7136072,0.20393462,0.95658886,file81_explicitDeadline.csv,81,explicitDeadline
0.55537456,0.35929286,0.52337503,-1.40091,1.7577832,0.8203706,1.7485689,0.19667241,1.518146,file53_control.csv,53,control
0.34038073,0.23073813,0.44091722,-0.17531696,1.3231398,2.737763,1.6183926,0.2246898,0.9987007,file356_control.csv,356,control
0.4494982,0.16486344,0.46675786,-0.8811647,2.158707,2.0920713,1.9403492,0.18539637,1.0719484,file47_control.csv,47,control
0.44314638,0.3216791,0.47449762,-0.7509124,2.0382218,0.48272482,1.7320588,0.20793755,1.0184841,file60_explicitDeadline.csv,60,explicitDeadline
