DM_st0,LFM_st0,DM_all,LFM_all,file,pp,condition
0.0023934178,0.002642691,0.016508188,0.9784557,file222_acc.csv,222,acc
0.0031890012,0.91953367,0.0034648287,0.073812395,file118_implicitDeadline.csv,118,implicitDeadline
0.007673238,0.9625444,0.005305328,0.02447702,file165_explicitDeadline.csv,165,explicitDeadline
0.0018189684,0.9746698,0.00304202,0.020469116,file120_implicitDeadline.csv,120,implicitDeadline
0.009161824,0.22256084,0.008743367,0.759534,file187_acc.csv,187,acc
0.0019868175,0.9604925,0.0024983396,0.03502231,file197_implicitDeadline.csv,197,implicitDeadline
0.083247855,0.77285504,0.02709488,0.11680217,file171_acc.csv,171,acc
0.0022297315,0.91116613,0.0025730308,0.08403119,file305_implicitDeadline.csv,305,implicitDeadline
0.0106120445,0.9609134,0.00638673,0.02208786,file154_explicitDeadline.csv,154,explicitDeadline
0.0021314742,0.9550475,0.0024153427,0.04040562,file217_acc.csv,217,acc
0.002267998,0.0022345113,0.0023040422,0.99319345,file91_acc.csv,91,acc
0.0022701605,0.016101202,0.002620449,0.9790082,file26_acc.csv,26,acc
0.12033361,0.24242105,0.07651759,0.5607277,file122_acc.csv,122,acc
0.0039025592,0.9510368,0.0037028536,0.041357845,file164_explicitDeadline.csv,164,explicitDeadline
0.0028329464,0.93109846,0.0029928337,0.06307565,file173_implicitDeadline.csv,173,implicitDeadline
0.23404253,0.3738499,0.12780048,0.26430708,file300_acc.csv,300,acc
0.0052029504,0.96554595,0.004104098,0.025147002,file168_explicitDeadline.csv,168,explicitDeadline
0.059290748,0.91102463,0.00906285,0.020621816,file99_explicitDeadline.csv,99,explicitDeadline
0.0029395567,0.6768423,0.0024840196,0.31773415,file32_acc.csv,32,acc
0.0024900965,0.91178423,0.002539052,0.08318665,file130_implicitDeadline.csv,130,implicitDeadline
0.0026355416,0.9482813,0.0030951097,0.045988057,file135_implicitDeadline.csv,135,implicitDeadline
0.0071943696,0.94757795,0.0054201544,0.039807584,file50_explicitDeadline.csv,50,explicitDeadline
0.0020090996,0.9745256,0.0027388844,0.020726481,file97_implicitDeadline.csv,97,implicitDeadline
0.0023314978,0.8605327,0.002512189,0.13462354,file188_acc.csv,188,acc
0.0030244289,0.7032451,0.0024483253,0.29128215,file94_acc.csv,94,acc
0.051484346,0.83448684,0.043791268,0.07023751,file232_implicitDeadline.csv,232,implicitDeadline
0.15000859,0.41371024,0.07037476,0.36590642,file291_implicitDeadline.csv,291,implicitDeadline
0.008543065,0.9690062,0.0047309883,0.017719857,file301_explicitDeadline.csv,301,explicitDeadline
0.59944034,0.11105584,0.23197073,0.057533063,file201_acc.csv,201,acc
0.061744377,0.7135265,0.022630963,0.20209815,file39_acc.csv,39,acc
0.18463203,0.67976475,0.037689246,0.09791408,file78_acc.csv,78,acc
0.015329667,0.9653808,0.0048946757,0.014394896,file299_explicitDeadline.csv,299,explicitDeadline
0.0091906395,0.86884165,0.007942672,0.11402508,file59_explicitDeadline.csv,59,explicitDeadline
0.094425805,0.39069813,0.05514186,0.45973423,file245_acc.csv,245,acc
0.0030987293,0.9152096,0.0033908223,0.078300826,file228_explicitDeadline.csv,228,explicitDeadline
0.0071163615,0.9560891,0.0047738734,0.03202074,file250_explicitDeadline.csv,250,explicitDeadline
0.013408817,0.96151334,0.005954387,0.019123413,file243_explicitDeadline.csv,243,explicitDeadline
0.028526237,0.7866236,0.011678531,0.1731717,file71_acc.csv,71,acc
0.002812751,0.9459151,0.0031302914,0.04814193,file8_implicitDeadline.csv,8,implicitDeadline
0.008897396,0.9652794,0.005361075,0.02046214,file128_explicitDeadline.csv,128,explicitDeadline
0.0088406345,0.9596283,0.005763431,0.025767568,file242_explicitDeadline.csv,242,explicitDeadline
0.0019166411,0.9690717,0.0027604874,0.026251193,file25_implicitDeadline.csv,25,implicitDeadline
0.0053006173,0.84564805,0.0029934398,0.14605792,file215_acc.csv,215,acc
0.022471728,0.95837957,0.004712395,0.014436376,file61_explicitDeadline.csv,61,explicitDeadline
0.04541582,0.77013063,0.01693172,0.16752186,file137_acc.csv,137,acc
0.0025408347,0.7850371,0.0023172747,0.21010478,file5_acc.csv,5,acc
0.0023718628,0.86713815,0.0025673925,0.1279225,file123_implicitDeadline.csv,123,implicitDeadline
0.017943015,0.95216274,0.007142511,0.022751773,file57_explicitDeadline.csv,57,explicitDeadline
0.002729965,0.97931963,0.0029750634,0.014975304,file199_implicitDeadline.csv,199,implicitDeadline
0.049638692,0.91135293,0.011818197,0.027190164,file295_explicitDeadline.csv,295,explicitDeadline
0.0056823734,0.96933347,0.004806103,0.020178085,file251_implicitDeadline.csv,251,implicitDeadline
0.033978708,0.68327385,0.015739912,0.26700744,file38_acc.csv,38,acc
0.0032686556,0.8066107,0.0026120069,0.18750864,file15_acc.csv,15,acc
0.026500033,0.6253328,0.020516466,0.3276508,file179_acc.csv,179,acc
0.0034306946,0.9693359,0.003269414,0.023963887,file51_implicitDeadline.csv,51,implicitDeadline
0.007719491,0.9602858,0.0047451626,0.027249634,file4_implicitDeadline.csv,4,implicitDeadline
0.002130397,0.86492115,0.0023579828,0.13059054,file110_implicitDeadline.csv,110,implicitDeadline
0.0032289668,0.875119,0.0025387465,0.11911336,file153_explicitDeadline.csv,153,explicitDeadline
0.0024823989,0.90078664,0.0027602592,0.09397074,file49_implicitDeadline.csv,49,implicitDeadline
0.18269044,0.52276754,0.07118441,0.22335759,file191_acc.csv,191,acc
0.0030853734,0.96182513,0.0028286239,0.032260846,file255_acc.csv,255,acc
0.0021615326,0.8468628,0.0023187336,0.14865693,file33_implicitDeadline.csv,33,implicitDeadline
0.0079053,0.7231379,0.005138291,0.26381856,file85_acc.csv,85,acc
0.02048445,0.8187549,0.010865918,0.14989477,file109_implicitDeadline.csv,109,implicitDeadline
0.0061976206,0.88461673,0.0050105983,0.10417508,file307_explicitDeadline.csv,307,explicitDeadline
0.071653426,0.680698,0.03930404,0.20834452,file282_implicitDeadline.csv,282,implicitDeadline
0.007655539,0.85286677,0.0056548025,0.13382289,file131_implicitDeadline.csv,131,implicitDeadline
0.076080084,0.84337974,0.03160815,0.04893212,file211_explicitDeadline.csv,211,explicitDeadline
0.0023771236,0.86311287,0.0024218904,0.13208811,file1_acc.csv,1,acc
0.006306872,0.8874032,0.005530688,0.10075926,file18_implicitDeadline.csv,18,implicitDeadline
0.0043734503,0.97712415,0.0039545894,0.014547809,file306_implicitDeadline.csv,306,implicitDeadline
0.0025921168,0.9089663,0.0027653384,0.08567622,file280_implicitDeadline.csv,280,implicitDeadline
0.82318753,0.019562198,0.1510251,0.00622508,file231_acc.csv,231,acc
0.002313878,0.84832937,0.002311841,0.14704491,file274_implicitDeadline.csv,274,implicitDeadline
0.5625839,0.028563268,0.3796184,0.029234422,file181_acc.csv,181,acc
0.0022678864,0.8802117,0.0024384852,0.115081884,file287_acc.csv,287,acc
0.11230582,0.27751276,0.109687924,0.50049347,file183_implicitDeadline.csv,183,implicitDeadline
0.01042988,0.9724832,0.0046786442,0.012408249,file82_implicitDeadline.csv,82,implicitDeadline
0.64047194,0.17485617,0.1396277,0.045044154,file229_acc.csv,229,acc
0.008313222,0.96765107,0.0053590285,0.018676694,file40_explicitDeadline.csv,40,explicitDeadline
0.002313368,0.86261755,0.002383732,0.13268535,file163_acc.csv,163,acc
0.017231287,0.003341052,0.8521113,0.12731634,file14_acc.csv,14,acc
0.0027512365,0.9247001,0.0026540277,0.06989472,file48_explicitDeadline.csv,48,explicitDeadline
0.0017018707,0.974842,0.002497761,0.020958435,file31_implicitDeadline.csv,31,implicitDeadline
0.35912362,0.38329357,0.12182279,0.13576013,file115_acc.csv,115,acc
0.035363704,0.7920612,0.011047176,0.16152793,file124_explicitDeadline.csv,124,explicitDeadline
0.002306942,0.72336465,0.0027890399,0.2715394,file203_implicitDeadline.csv,203,implicitDeadline
0.0022766567,0.8340565,0.0023847695,0.1612821,file44_implicitDeadline.csv,44,implicitDeadline
0.005231607,0.81562513,0.0032671501,0.17587608,file190_implicitDeadline.csv,190,implicitDeadline
0.0046164943,0.6158955,0.0035365915,0.37595144,file219_acc.csv,219,acc
0.64325285,0.10005904,0.20880222,0.047885846,file208_acc.csv,208,acc
0.0025255976,0.91639346,0.002502824,0.07857808,file184_explicitDeadline.csv,184,explicitDeadline
0.0053466815,0.9690814,0.004043945,0.021527942,file125_explicitDeadline.csv,125,explicitDeadline
0.014469989,0.95477575,0.0073788497,0.02337536,file238_explicitDeadline.csv,238,explicitDeadline
0.0025650377,0.87317836,0.0029629508,0.121293694,file21_implicitDeadline.csv,21,implicitDeadline
0.018279891,0.9537418,0.0070149144,0.020963397,file289_explicitDeadline.csv,289,explicitDeadline
0.0018975973,0.67534983,0.0023158584,0.3204367,file209_acc.csv,209,acc
0.5223737,0.037737053,0.3892632,0.05062604,file76_acc.csv,76,acc
0.0032640605,0.924234,0.0031323864,0.0693696,file218_explicitDeadline.csv,218,explicitDeadline
0.009584326,0.9644833,0.0053566922,0.02057569,file7_explicitDeadline.csv,7,explicitDeadline
