t0,st0,zr,v0,v1,a,alpha,file,pp,condition
0.3483042,0.06845186,0.50649035,-3.6355696,3.0807302,1.3452379,1.8592793,file225_acc.csv,225,acc
0.30051765,0.095229104,0.5085057,-2.4375622,2.2308679,0.39662433,1.497534,file37_acc.csv,37,acc
0.30264428,0.11140758,0.46875307,-2.015423,1.8959391,0.40753222,1.2018225,file126_implicitDeadline.csv,126,implicitDeadline
0.26194245,0.13612057,0.4937085,-2.425953,2.2832248,0.6585185,1.2990781,file227_implicitDeadline.csv,227,implicitDeadline
0.32483876,0.106406644,0.3220124,-2.7457173,3.6116188,0.44433922,1.15793,file176_explicitDeadline.csv,176,explicitDeadline
0.27842557,0.14071059,0.30185783,-1.7406511,2.7108665,0.7440256,1.0204647,file69_implicitDeadline.csv,69,implicitDeadline
0.35895687,0.099512205,0.45986593,-2.2242286,2.4403028,0.3349214,1.0508014,file248_explicitDeadline.csv,248,explicitDeadline
0.30786774,0.07329509,0.51628387,-3.2484186,2.7729475,0.86252147,1.7761515,file81_acc.csv,81,acc
0.26866144,0.13763563,0.43559405,-2.5494628,2.2382255,0.4936971,1.2833719,file304_implicitDeadline.csv,304,implicitDeadline
0.34946817,0.062218055,0.46226132,-3.6931806,3.44705,1.4777905,1.7431992,file293_acc.csv,293,acc
0.30669627,0.07844697,0.4767788,-3.3328898,2.9529555,0.54241306,1.3908478,file22_implicitDeadline.csv,22,implicitDeadline
0.3260365,0.12423329,0.49332398,-3.007243,3.2635298,0.5056567,1.0458931,file13_explicitDeadline.csv,13,explicitDeadline
0.28765985,0.13419804,0.47523656,-1.941167,2.2111447,0.43334198,1.2194768,file193_implicitDeadline.csv,193,implicitDeadline
0.322404,0.12638511,0.47189516,-2.8534625,2.8362753,0.419213,1.0653187,file149_explicitDeadline.csv,149,explicitDeadline
0.3210618,0.14882542,0.4310975,-1.3318522,1.575648,0.24506591,1.106045,file47_explicitDeadline.csv,47,explicitDeadline
0.3519906,0.1397584,0.49126807,-3.1901956,3.0127869,0.25882518,1.3294872,file2_explicitDeadline.csv,2,explicitDeadline
0.29727706,0.09480063,0.36442232,-2.4673245,3.040511,0.33625385,1.3327806,file196_explicitDeadline.csv,196,explicitDeadline
0.29063374,0.1302658,0.47604203,-2.328267,2.4686813,0.4566922,1.496289,file41_implicitDeadline.csv,41,implicitDeadline
0.35624433,0.13068855,0.46885356,-3.1438854,3.5168207,0.97220236,1.6360142,file52_acc.csv,52,acc
0.27021003,0.12980086,0.58825046,-2.5996633,2.102339,0.5569021,1.0214171,file24_explicitDeadline.csv,24,explicitDeadline
0.2461748,0.10224729,0.61171794,-3.2002373,2.6620393,0.82267004,1.1857653,file144_implicitDeadline.csv,144,implicitDeadline
0.33647025,0.108286485,0.51827705,-2.1184635,2.6123655,0.35594973,1.6275609,file186_implicitDeadline.csv,186,implicitDeadline
0.31115627,0.1157021,0.57010514,-2.2342484,1.6765819,0.4292787,1.3173207,file226_implicitDeadline.csv,226,implicitDeadline
0.30704448,0.051740654,0.5053048,-3.271591,3.2965202,0.95884883,1.7243145,file158_acc.csv,158,acc
0.35565877,0.1054228,0.55339247,-4.5913806,3.9652808,0.9975797,1.621402,file79_acc.csv,79,acc
0.39815032,0.107122876,0.5182338,-4.4526324,3.6307724,0.8100832,1.6576344,file313_acc.csv,313,acc
0.30016163,0.075965494,0.5405615,-3.5885258,3.4348266,0.49667105,1.3320537,file246_implicitDeadline.csv,246,implicitDeadline
0.29992107,0.09398006,0.36919844,-2.0388434,2.538142,0.4411733,1.2244244,file270_implicitDeadline.csv,270,implicitDeadline
0.28190675,0.06793669,0.48944336,-3.3610997,3.8062851,0.715683,1.4927825,file35_implicitDeadline.csv,35,implicitDeadline
0.3069769,0.11880891,0.47747055,-2.4190726,2.2269266,0.5189861,1.3846579,file213_implicitDeadline.csv,213,implicitDeadline
0.27747756,0.18823111,0.63427526,-1.673925,1.2976818,0.3088754,1.2293186,file233_explicitDeadline.csv,233,explicitDeadline
0.30255857,0.14434618,0.5514185,-1.9132386,1.3792928,0.40973872,1.2205997,file269_implicitDeadline.csv,269,implicitDeadline
0.3183689,0.11301438,0.42349458,-2.389383,2.7798257,0.33089057,1.1536858,file34_explicitDeadline.csv,34,explicitDeadline
0.31257218,0.14363259,0.39666578,-2.3367043,2.6658454,0.41456407,1.0713174,file278_explicitDeadline.csv,278,explicitDeadline
0.31286332,0.09333889,0.5903412,-3.676816,3.2559578,1.0274082,1.6795266,file11_acc.csv,11,acc
0.26267636,0.11033917,0.39073405,-2.2956862,2.92404,0.57165855,1.1015681,file65_implicitDeadline.csv,65,implicitDeadline
0.31703916,0.110110715,0.35905984,-2.1444862,2.9775367,0.50404453,1.5223073,file170_implicitDeadline.csv,170,implicitDeadline
0.3264948,0.08249139,0.5770445,-3.3778715,2.9753733,0.37305877,1.3788577,file315_explicitDeadline.csv,315,explicitDeadline
0.31782717,0.122630686,0.5481808,-2.570286,2.2022774,0.3937573,1.4056938,file77_implicitDeadline.csv,77,implicitDeadline
0.32458717,0.13239887,0.49015543,-1.7854934,1.7099738,0.29766247,1.0574114,file298_explicitDeadline.csv,298,explicitDeadline
0.33491695,0.1206771,0.4795846,-4.242282,3.798057,1.0610251,1.6026515,file86_acc.csv,86,acc
0.3282646,0.116533704,0.4970948,-3.6565988,3.4357054,0.44239584,1.5428891,file3_implicitDeadline.csv,3,implicitDeadline
